	votes	nleaves	rank	clade	feature	balance
167	Propionibacteriales	3	Rank5	-	b324	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
168	Nocardioidaceae	3	Rank6	-	b324	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
169	Nocardioides	3	Rank7	-	b324	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
170	Actinobacteria	2	Rank4	+	b327	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
171	Propionibacteriales	2	Rank5	+	b327	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
172	Nocardioidaceae	2	Rank6	+	b327	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
173	Nocardioides	2	Rank7	+	b327	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
174	Actinobacteria	2	Rank4	-	b327	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
175	Propionibacteriales	2	Rank5	-	b327	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
176	Nocardioidaceae	2	Rank6	-	b327	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
177	Nocardioides	2	Rank7	-	b327	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
178	Planctomycetacia	1	Rank4	+	b394	Rank8_unclassified Pir4 lineage/Rank8_unclassified Pir4 lineage
179	Pirellulales	1	Rank5	+	b394	Rank8_unclassified Pir4 lineage/Rank8_unclassified Pir4 lineage
180	Pirellulaceae	1	Rank6	+	b394	Rank8_unclassified Pir4 lineage/Rank8_unclassified Pir4 lineage
181	Pir4 lineage	1	Rank7	+	b394	Rank8_unclassified Pir4 lineage/Rank8_unclassified Pir4 lineage
182	Planctomycetacia	1	Rank4	-	b394	Rank8_unclassified Pir4 lineage/Rank8_unclassified Pir4 lineage
183	Pirellulales	1	Rank5	-	b394	Rank8_unclassified Pir4 lineage/Rank8_unclassified Pir4 lineage
184	Pirellulaceae	1	Rank6	-	b394	Rank8_unclassified Pir4 lineage/Rank8_unclassified Pir4 lineage
185	Pir4 lineage	1	Rank7	-	b394	Rank8_unclassified Pir4 lineage/Rank8_unclassified Pir4 lineage
186	Verrucomicrobiae	9	Rank4	+	b422	Rank8_unclassified Candidatus Udaeobacter/Rank8_unclassified Candidatus Udaeobacter
187	Chthoniobacterales	9	Rank5	+	b422	Rank8_unclassified Candidatus Udaeobacter/Rank8_unclassified Candidatus Udaeobacter
188	Chthoniobacteraceae	9	Rank6	+	b422	Rank8_unclassified Candidatus Udaeobacter/Rank8_unclassified Candidatus Udaeobacter
189	Candidatus Udaeobacter	9	Rank7	+	b422	Rank8_unclassified Candidatus Udaeobacter/Rank8_unclassified Candidatus Udaeobacter
190	Verrucomicrobiae	2	Rank4	-	b422	Rank8_unclassified Candidatus Udaeobacter/Rank8_unclassified Candidatus Udaeobacter
191	Chthoniobacterales	2	Rank5	-	b422	Rank8_unclassified Candidatus Udaeobacter/Rank8_unclassified Candidatus Udaeobacter
192	Chthoniobacteraceae	2	Rank6	-	b422	Rank8_unclassified Candidatus Udaeobacter/Rank8_unclassified Candidatus Udaeobacter
193	Candidatus Udaeobacter	2	Rank7	-	b422	Rank8_unclassified Candidatus Udaeobacter/Rank8_unclassified Candidatus Udaeobacter
194	Verrucomicrobiae	5	Rank4	+	b435	Rank8_unclassified Chthoniobacter/Rank6_Chthoniobacteraceae
195	Chthoniobacterales	5	Rank5	+	b435	Rank8_unclassified Chthoniobacter/Rank6_Chthoniobacteraceae
196	Chthoniobacteraceae	5	Rank6	+	b435	Rank8_unclassified Chthoniobacter/Rank6_Chthoniobacteraceae
197	Chthoniobacter	5	Rank7	+	b435	Rank8_unclassified Chthoniobacter/Rank6_Chthoniobacteraceae
198	Verrucomicrobiae	2	Rank4	-	b435	Rank8_unclassified Chthoniobacter/Rank6_Chthoniobacteraceae
199	Chthoniobacterales	2	Rank5	-	b435	Rank8_unclassified Chthoniobacter/Rank6_Chthoniobacteraceae
200	Chthoniobacteraceae	2	Rank6	-	b435	Rank8_unclassified Chthoniobacter/Rank6_Chthoniobacteraceae
201	Candidatus Udaeobacter	1	Rank7	-	b435	Rank8_unclassified Chthoniobacter/Rank6_Chthoniobacteraceae
202	Chthoniobacter	1	Rank7	-	b435	Rank8_unclassified Chthoniobacter/Rank6_Chthoniobacteraceae
203	Bacilli	8	Rank4	+	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
204	Bacillales	8	Rank5	+	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
205	Bacillaceae	6	Rank6	+	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
206	Planococcaceae	1	Rank6	+	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
207	Staphylococcaceae	1	Rank6	+	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
208	Bacillus	6	Rank7	+	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
209	Lysinibacillus	1	Rank7	+	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
210	Staphylococcus	1	Rank7	+	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
211	Bacilli	2	Rank4	-	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
212	Bacillales	2	Rank5	-	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
213	Bacillaceae	2	Rank6	-	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
214	Bacillus	2	Rank7	-	b466	Rank5_Bacillales/Rank8_unclassified Bacillus
215	Bacilli	1	Rank4	+	b468	Rank8_unclassified Bacillus/Rank8_unclassified Bacillus
216	Bacillales	1	Rank5	+	b468	Rank8_unclassified Bacillus/Rank8_unclassified Bacillus
217	Bacillaceae	1	Rank6	+	b468	Rank8_unclassified Bacillus/Rank8_unclassified Bacillus
218	Bacillus	1	Rank7	+	b468	Rank8_unclassified Bacillus/Rank8_unclassified Bacillus
219	Bacilli	1	Rank4	-	b468	Rank8_unclassified Bacillus/Rank8_unclassified Bacillus
220	Bacillales	1	Rank5	-	b468	Rank8_unclassified Bacillus/Rank8_unclassified Bacillus
221	Bacillaceae	1	Rank6	-	b468	Rank8_unclassified Bacillus/Rank8_unclassified Bacillus
222	Bacillus	1	Rank7	-	b468	Rank8_unclassified Bacillus/Rank8_unclassified Bacillus
223	Bacilli	9	Rank4	+	b482	Rank7_Paenibacillus/Rank8_unclassified Paenibacillus
224	Bacillales	9	Rank5	+	b482	Rank7_Paenibacillus/Rank8_unclassified Paenibacillus
225	Paenibacillaceae	9	Rank6	+	b482	Rank7_Paenibacillus/Rank8_unclassified Paenibacillus
226	Paenibacillus	9	Rank7	+	b482	Rank7_Paenibacillus/Rank8_unclassified Paenibacillus
227	Bacilli	1	Rank4	-	b482	Rank7_Paenibacillus/Rank8_unclassified Paenibacillus
228	Bacillales	1	Rank5	-	b482	Rank7_Paenibacillus/Rank8_unclassified Paenibacillus
229	Paenibacillaceae	1	Rank6	-	b482	Rank7_Paenibacillus/Rank8_unclassified Paenibacillus
230	Paenibacillus	1	Rank7	-	b482	Rank7_Paenibacillus/Rank8_unclassified Paenibacillus
231	Bacteroidia	27	Rank4	+	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
232	Cytophagales	27	Rank5	+	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
233	Microscillaceae	12	Rank6	+	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
234	Spirosomaceae	15	Rank6	+	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
235	Chryseolinea	4	Rank7	+	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
236	Dyadobacter	14	Rank7	+	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
237	Larkinella	1	Rank7	+	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
238	Ohtaekwangia	7	Rank7	+	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
239	OLB12	1	Rank7	+	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
240	Bacteroidia	2	Rank4	-	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
